,name,time,tweet
0,The Cyber Security News,2023-01-06 09:42:54+00:00,Ransomware Disruption at The Guardian to Last at Least a Month #security #cybersecurity #hack #it-security https://t.co/rHL7aVTBtT
1,Jorge Castañeda,2023-01-06 09:42:41+00:00,Rackspace Confirms Play Ransomware Gang Responsible for Recent Breach https://t.co/mYHZ8ODEPH
2,Infotech Consulting,2023-01-06 09:42:37+00:00,"Rackspace blames ransomware woes on zero-day attack: Play gang blamed, ProxyNotShell cleared and hosted Exchange do… https://t.co/3LHTbHyKPg"
3,FalconFeedsio,2023-01-06 09:42:26+00:00,"ALPHV #ransomware group added Buffco Production, Inc., a privately held Oil and Gas exploration &amp; production compan… https://t.co/QZQ9QWvDuc"
4,steve_.cyber07,2023-01-06 09:42:18+00:00,"I'm always available 24/7
#hacked #icloud #imessage #facebookdown #ransomware #snapchat #discord #havking… https://t.co/D6wI6IATh8"
5,bebrain hack,2023-01-06 09:40:49+00:00,"Lost Email, Instagram and Twitter?
Dm for quick recovery.
Available 24/7....
#gmailhack
#gmaildown #hacked #Hacking… https://t.co/tXjUwBYgb3"
6,Infosec Alevski 💻🕵️‍♂️,2023-01-06 09:40:38+00:00,Rackspace Confirms Play Ransomware Gang Responsible for Recent Breach: https://t.co/Fh6qd3lm6E by The Hacker News… https://t.co/IhsW9BadQJ
7,BreachAware ®,2023-01-06 09:40:25+00:00,@Rackspace are discontinuing their email service due to #ransomware attack and migrating to cloud based @Microsoft… https://t.co/LhAD7ZGCRb
8,CORE.TEC,2023-01-06 09:38:16+00:00,Inbox now for help and guide on how to recover your account with immediate effect. #haked #icloud #facebookdown… https://t.co/XT1D64Nbm2
9,Craig Pateman,2023-01-06 09:38:03+00:00,What to Do When Ransomware Strikes https://t.co/JMsyuRbhRG @smallbiztrends
10,CORE.TEC,2023-01-06 09:37:58+00:00,#facebookdown #imessage #ransomware #snapchat #snapchatsupport #snapchatleak #hacking #discord #xboxseriesx… https://t.co/DB4ARPcTPU
11,Marik Brestovisky,2023-01-06 09:36:25+00:00,Rackspace Confirms Play Ransomware Gang Responsible for Recent Breach https://t.co/0x70BaDCLf https://t.co/C45wmp04oH
12,Cybersecurity Alerts,2023-01-06 09:36:16+00:00,Retreat Behavioral Health addiction treatment centers hit by ransomware earlier this year https://t.co/FYal7Iq3Nd #Cybersecurity
13,Securityblog,2023-01-06 09:36:12+00:00,Healthcare Ransomware Attacks More Than Doubled Over Past 5 Years https://t.co/7juo8thHJy
14,Shah Sheikh,2023-01-06 09:36:03+00:00,Ransomware Disruption at The Guardian to Last at Least a Month: Famed newspaper was hit at the end of December https://t.co/oAvKgVQvc3
15,The Cyber Security Hub™,2023-01-06 09:36:02+00:00,Ransomware Disruption at The Guardian to Last at Least a Month https://t.co/LqhLQmtQnC
16,CyberIQs,2023-01-06 09:35:53+00:00,Rackspace Confirms Play Ransomware Gang Responsible for Recent Breach #infosec #infosecurity #cybersecurity… https://t.co/WKUzW1BMpE
17,SK,2023-01-06 09:35:41+00:00,Rackspace Confirms Play Ransomware Gang Responsible for Recent Breach https://t.co/SHGlcoftm1 #cyber  #awareness… https://t.co/imIApiIuaM
18,Securityblog,2023-01-06 09:34:57+00:00,Software provider denied insurance payout after ransomware attack https://t.co/Ay6J75xSLa
19,CORE.TEC,2023-01-06 09:34:56+00:00,"Have exclusive Hacking jobs?
DM and Ask for my service.
#hacked #icloud #facebookdown #imessage #ransomware… https://t.co/xslIauvW2M"
20,CORE.TEC,2023-01-06 09:34:45+00:00,"Inbox now for help and guide on how to recover lost accounts.
#hacked #icloud #facebookdown #imessage #ransomware… https://t.co/VUQ2Z4JTsn"
21,Securityblog,2023-01-06 09:34:28+00:00,Rackspace Sunsets Email Service Downed in Ransomware Attack https://t.co/uDMuPTMHrQ
22,CORE.TEC,2023-01-06 09:34:25+00:00,"Inbox now for all account recovery services,Lost or suspended
Inbox now let's get it done.
#hacked #icloud… https://t.co/7VpXaJ3JGy"
23,Cyberfeed.io,2023-01-06 09:34:20+00:00,Rackspace Has Fallen Victim to Ransomware: Here’s What You Need to Know https://t.co/3dADGaZkqa #cybersec #security #infosec #cybersecurity
24,Safe Space One,2023-01-06 09:33:23+00:00,Healthcare suffers #ransomware double extortion (threat to not only not return data but to expose it) more than oth… https://t.co/7TbJ0WDW86
25,KeoXes,2023-01-06 09:33:09+00:00,Rackspace Confirms Play Ransomware Gang Responsible for Recent Breach: https://t.co/5RLYnVuViI #follow &amp; #RT #cybersecurity #infosec
26,CORE.TEC,2023-01-06 09:32:39+00:00,"We have helped alot of people Recover their lost/ Hacked Account and Wallets etc
Inbox Us, if you need our Hacking… https://t.co/z6LUgQzLfT"
27,CORE.TEC,2023-01-06 09:31:09+00:00,"Offering the best recovery services.
All social media accounts hacking, Infiltration, and recovery.… https://t.co/TCtbm5ft1F"
28,Dr. Paul de Souza,2023-01-06 09:30:30+00:00,Attacks and Breaches Rackspace Sunsets Email Service Downed in Ransomware Attack https://t.co/52lsZx4Jka
29,FINSIN,2023-01-06 09:30:12+00:00,"""The Hacker News"": Rackspace Confirms Play Ransomware Gang Responsible for Recent Breach ... mas info aqui… https://t.co/TOFAjcWR6E"
30,Dan,2023-01-06 09:30:04+00:00,Rackspace Confirms Play Ransomware Gang Responsible for Recent Breach https://t.co/qSzGEhPY37 info@thehackernews.com (The Hacker News)
31,Infosecurity Magazine,2023-01-06 09:30:03+00:00,Ransomware Disruption at The Guardian to Last at Least a Month https://t.co/zyeYinPA3m
32,TechNative,2023-01-06 09:30:01+00:00,"Building resilience to cyber-attacks – before it’s too late 

#infosec #cyberthreats #cyberattacks #leaders #CISO… https://t.co/gK49ByIVOC"
33,jeanson_hack583,2023-01-06 09:29:32+00:00,"We are available 24/7
 inbox and smile again
 #Hacked #facebookdown #whatspp #hackedinstagram #twitterdown… https://t.co/cuJUKEGPHn"
